,i,reward,eplen,epsilon,lr,loss,avg_Q,BP,IS,code,date,start_index
0,29,22.071079851930193,30,0.7,2e-05,0.0,0.0,-3.738296287449984,117221232.1097641,000001,20231207,5
1,59,27.37208304278923,30,0.6935823614249372,2e-05,0.0,0.0,-0.10366886491642263,25410467.328403473,000001,20231207,135
2,89,18.815733368700272,30,0.687223560113989,2e-05,0.0,0.0,-3.6543201848207443,-14260246.481254578,000001,20231207,86
3,119,24.46650301109351,30,0.6809230566438755,2e-05,0.0,0.0,0.25161290322666585,30489502.69838333,000001,20231207,208
4,149,25.112130047694755,30,0.6746803165367794,2e-05,0.0,0.0,-4.162199770928154,-11005971.049655914,000001,20231207,100
5,179,22.406993278810496,30,0.6684948102150052,2e-05,0.0,0.0,-1.7673377057647381,-6351945.432498932,000001,20231207,173
6,209,22.71896124933827,30,0.6623660129560552,2e-05,0.0,0.0,0.5143063690753351,-17222367.98965454,000001,20231207,175
7,239,19.841782567353413,30,0.6562934048481163,2e-05,0.0,0.0,-6.7956852921632445,52990451.61122131,000001,20231207,140
8,269,12.798874325039723,30,0.6502764707459555,2e-05,0.0,0.0,-8.230550385078985,1022442.5646743774,000001,20231207,177
9,299,21.31673035619352,30,0.64431470022722,2e-05,0.0,0.0,-2.6549376046815683,-15131707.591220856,000001,20231207,31
10,329,24.718329455314656,30,0.638407587549137,2e-05,0.0,0.0,0.9921984726751847,-16666140.770492554,000001,20231207,198
11,359,17.816317738926458,30,0.6325546316056112,2e-05,0.0,0.0,-8.623280487157162,-14758517.459453583,000001,20231207,35
12,389,26.69353844526706,30,0.6267553358847159,2e-05,0.0,0.0,-1.1303275845386385,5875198.085639954,000001,20231207,181
13,419,23.9478954954955,30,0.6210092084265728,2e-05,0.0,0.0,-0.44593283985916643,-43457078.660980225,000001,20231207,107
14,449,23.806923203227107,30,0.6153157617816192,2e-05,0.0,0.0,-4.8721209681614726,-6281638.473804474,000001,20231207,99
15,479,24.47080739566826,30,0.6096745129692566,2e-05,0.0,0.0,-0.5288845719083897,26571582.03175354,000001,20231207,135
16,509,9.058675305363792,30,0.6040849834368793,2e-05,0.0,0.0,-3.3973834935097322,-53125084.7555542,000001,20231207,54
17,539,21.21541945773525,30,0.5985466990192785,2e-05,0.0,0.0,-4.1208691327537545,-13946070.422298431,000001,20231207,32
18,569,25.705924748277685,30,0.5930591898984177,2e-05,0.0,0.0,-3.8373477842175574,-5375709.120166779,000001,20231207,97
19,599,16.91916065573772,30,0.5876219905635783,2e-05,0.0,0.0,2.2927892734698627,-17421913.54286194,000001,20231207,129
20,629,10.720696434273576,30,0.5822346397718698,2e-05,0.0,0.0,-4.431855196365653,-18698908.916870117,000001,20231207,23
21,659,15.448839068290091,30,0.5768966805091017,2e-05,0.0,0.0,-0.4555690272449545,-44360178.55986786,000001,20231207,120
22,689,21.91526151402858,30,0.5716076599510148,2e-05,0.0,0.0,-0.7189387341524568,-13861924.7070961,000001,20231207,175
23,719,24.933838367779536,30,0.5663671294248678,2e-05,0.0,0.0,-1.3707654523588202,-30702607.732559204,000001,20231207,170
24,749,23.852390913893302,30,0.5611746443713755,2e-05,0.0,0.0,-1.489039983185145,134356184.72212982,000001,20231207,4
25,779,19.887237480148222,30,0.5560297643069972,2e-05,0.0,0.0,-3.0923820420404624,102421395.21932602,000001,20231207,9
26,809,18.68094607732773,30,0.5509320527865692,2e-05,0.0,0.0,0.9702177841305258,-73367060.56884766,000001,20231207,106
27,839,22.566893707033316,30,0.5458810773662812,2e-05,0.0,0.0,-2.847239044027973,30102047.74230194,000001,20231207,148
28,869,16.038208948477017,30,0.5408764095669918,2e-05,0.0,0.0,-2.291262863863796,-34704916.29685593,000001,20231207,192
29,899,23.533630988894778,30,0.5359176248378796,2e-05,0.0,0.0,-1.3113491752075097,60346325.78493118,000001,20231207,70
30,929,22.24951264493445,30,0.5310043025204289,2e-05,0.0,0.0,0.110492407749301,-44971983.43785858,000001,20231207,119
31,959,20.677645747490757,30,0.5261360258127441,2e-05,0.0,0.0,0.3873092150465082,20347203.269630432,000001,20231207,204
32,989,13.729745372668095,30,0.5213123817341926,2e-05,0.0,0.0,5.470451846337894,-26988905.458950043,000001,20231207,95
33,1019,23.001141026998425,30,0.516532961090371,2e-05,0.655367374420166,0.020717807114124298,-3.718088309790484,-1036386.7117843628,000001,20231207,173
34,1049,20.910932416710736,30,0.5117973584383925,2e-05,0.7719705104827881,0.016877148300409317,-1.4734810619650849,-9940349.712249756,000001,20231207,199
35,1079,6.029882083997875,30,0.5071051720524933,2e-05,0.7965158820152283,0.04162875935435295,3.100925497187733,-27026738.22612381,000001,20231207,29
36,1109,17.892618018018034,30,0.5024560038899535,2e-05,0.6195993423461914,0.03846310079097748,1.642113840598593,6697902.764041901,000001,20231207,77
37,1139,25.597283785220636,30,0.4978494595573306,2e-05,0.7520927786827087,0.04008994996547699,1.5589671474205011,-87987952.81454086,000001,20231207,51
38,1169,9.227975885774729,30,0.49328514827700315,2e-05,0.6912096738815308,0.05655593425035477,9.325295258241388,-25437201.624214172,000001,20231207,137
39,1199,19.57168228450554,30,0.4887626828540203,2e-05,0.6278535723686218,0.06178271770477295,-0.5686972245459737,25748011.85456848,000001,20231207,153
40,1229,15.734837771883296,30,0.4842816796432559,2e-05,0.562279224395752,0.06727666407823563,-4.6077111320272435,59061060.089214325,000001,20231207,16
41,1259,12.94859073975518,30,0.4798417585168635,2e-05,0.8599339723587036,0.07860177755355835,-0.28405637865251165,-43900983.37114334,000001,20231207,28
42,1289,10.767803186404667,30,0.4754425428320296,2e-05,0.7401823401451111,0.11161668598651886,-0.3547564798800856,-61389540.32044983,000001,20231207,54
43,1319,12.074985827604436,30,0.47108365939902286,2e-05,0.6147079467773438,0.11733628809452057,-0.14986552032179115,22744250.237957,000001,20231207,150
44,1349,17.92072734003172,30,0.4667647384495359,2e-05,0.5719403028488159,0.1102668046951294,1.4503187139982496,-18846428.376434326,000001,20231207,124
45,1379,16.795351991502898,30,0.46248541360531764,2e-05,0.6538110375404358,0.14408475160598755,-13.198557552297052,4208343.592277527,000001,20231207,42
46,1409,9.782723663313917,30,0.45824532184709293,2e-05,0.47001567482948303,0.11851856857538223,3.8042259373731198,15691973.804714203,000001,20231207,68
47,1439,8.844806790450928,30,0.45404410348376734,2e-05,0.6009154319763184,0.21607224643230438,-8.338126123043528,-40611510.98895645,000001,20231207,104
48,1469,7.983400212426975,30,0.44988140212191424,2e-05,0.5398859977722168,0.18075059354305267,-13.413618168217354,15029578.734592438,000001,20231207,39
49,1499,9.786061816250658,30,0.44575686463554154,2e-05,0.4751049876213074,0.21690532565116882,-11.498544418369049,12619741.61756134,000001,20231207,38
50,1529,13.650628965517235,30,0.4416701411361358,2e-05,0.6287254095077515,0.20275776088237762,3.528157211713547,-45888553.24762726,000001,20231207,59
51,1559,6.096823186871347,30,0.43762088494298057,2e-05,0.5536160469055176,0.26270949840545654,-0.7174018226681517,2885476.7826690674,000001,20231207,162
52,1589,10.504806246691366,30,0.43360875255374753,2e-05,0.4728233516216278,0.2556668519973755,1.2605463435730166,-4365479.705001831,000001,20231207,156
53,1619,8.8792633810281,30,0.42963340361535646,2e-05,0.528596043586731,0.305600106716156,-2.80943182271294,18814981.920578003,000001,20231207,80
54,1649,18.552889687995766,30,0.425694500895103,2e-05,0.5002530813217163,0.32410481572151184,2.3788198768350233,42835265.86722183,000001,20231207,64
55,1679,11.919883678894209,30,0.4217917102520509,2e-05,0.4947894811630249,0.32138511538505554,-0.23187620403204987,-17983718.420856476,000001,20231207,29
56,1709,14.4778561607615,30,0.4179247006086863,2e-05,0.4745434522628784,0.39778703451156616,0.8069121986979718,20134386.73505783,000001,20231207,148
57,1739,11.617758639021805,30,0.41409314392283225,2e-05,0.49930310249328613,0.4265052080154419,-2.3121766619215824,-16061734.118968964,000001,20231207,31
58,1769,17.254839238498132,30,0.41029671515982064,2e-05,0.42948052287101746,0.3680098354816437,3.028670044293029,41062628.18901825,000001,20231207,64
59,1799,19.26985826687932,30,0.40653509226491896,2e-05,0.4512037932872772,0.37858226895332336,-3.467010798418334,-63183046.136039734,000001,20231207,47
60,1829,9.498410492845778,30,0.4028079561360104,2e-05,0.39463672041893005,0.4306948781013489,-7.709691095270231,1442209.4754104614,000001,20231207,99
61,1859,12.999114346214917,30,0.3991149905965238,2e-05,0.42750099301338196,0.4445182681083679,-0.9782897021282265,804433.0374031067,000001,20231207,155
62,1889,15.302195351294252,30,0.3954558823686123,2e-05,0.4139713644981384,0.4934179186820984,7.207253662333628,-1998244.361503601,000001,20231207,130
63,1919,11.857467091972346,30,0.3918303210465776,2e-05,0.3927849233150482,0.4852849245071411,-9.655333184705517,-51975894.70213318,000001,20231207,49
64,1949,13.69416569613552,30,0.388237999070538,2e-05,0.32636216282844543,0.4771151542663574,-3.6524473892437572,5299256.727497101,000001,20231207,169
65,1979,10.93340010576414,30,0.3846786117003377,2e-05,0.40244758129119873,0.5131551027297974,17.035121657199003,60556257.32356644,000001,20231207,5
66,2009,7.43307921318447,30,0.38115185698969534,2e-05,0.6397198438644409,0.4958988130092621,-15.72669536336835,-29918369.666812897,000001,20231207,47
67,2039,13.152287136050827,30,0.37765743576058985,2e-05,0.5463618636131287,0.5080145597457886,2.0599304405258585,-47492033.99664688,000001,20231207,193
68,2069,16.882048327137536,30,0.3741950515778807,2e-05,0.69298255443573,0.7112817764282227,4.393623764409987,-74287203.2145195,000001,20231207,54
69,2099,10.726628239026965,30,0.370764410724161,2e-05,0.5916889905929565,0.7150508165359497,4.440809038853027,-24211847.6777153,000001,20231207,201
